coords,eco_thermal_closest_km,eco_thermal_less500m,eco_thermal_0.5-1km,eco_thermal_1-3km,eco_thermal_3-5km,eco_thermal_5-10km,eco_thermal_10-15km
"('55.760494', '37.518551')",0.6165571199904064,0,2,1,5,11,36
"('55.764059', '37.512914')",1.04133985542101,0,0,3,3,13,33
"('55.758073', '37.547144')",1.2002927840776898,0,0,3,2,17,26
"('55.823924', '37.56847')",1.8315423228826961,0,0,1,3,17,20
"('55.81563', '37.585133')",0.5897815555026601,0,1,2,4,14,21
"('55.821441', '37.582763')",0.9233221167514545,0,1,1,4,14,23
"('55.81821', '37.587964')",0.4539971411103154,1,0,3,4,14,21
"('55.824106', '37.570357')",1.7371782205399506,0,0,1,3,18,19
"('55.824299', '37.566252')",1.9744246495420779,0,0,1,3,18,19
"('55.82562', '37.577267')",1.488461995467175,0,0,2,3,17,20
"('55.73943', '37.638313')",3.961662094218511,0,0,0,3,18,25
"('55.736959', '37.61556')",3.353127241670108,0,0,0,3,19,22
"('55.736909', '37.62599')",3.937522208449994,0,0,0,4,18,24
"('55.86425', '37.429108')",0.6845117025497999,0,2,2,6,4,20
"('55.854047', '37.420491')",0.8997279379859319,0,2,3,6,6,19
"('55.83845', '37.388511')",1.059067450803467,0,0,5,2,10,11
"('55.861489', '37.417544')",0.21999780152619192,1,0,4,4,6,18
"('55.845688', '37.42669')",0.28453508053288407,1,1,4,3,9,19
"('55.82496', '37.412477')",0.8656638416241554,0,1,2,5,8,17
"('55.85337', '37.409648')",0.9219091262339649,0,1,5,4,8,13
"('55.840791', '37.379043')",0.4532508018974246,1,0,5,3,8,12
"('55.84869', '37.436203')",0.9269037573504927,0,1,4,3,9,19
"('55.85434', '37.432034')",0.48892663338338915,1,0,5,3,9,17
"('55.65069', '37.468346')",3.888529037772634,0,0,0,3,12,24
"('55.65161', '37.482018')",4.753766306846794,0,0,0,2,15,21
"('55.65055', '37.489014')",4.557612629866159,0,0,0,1,17,19
"('55.655447', '37.487829')",4.811611632107204,0,0,0,1,17,19
"('55.63194', '37.48322')",2.90739778810653,0,0,1,1,14,22
"('55.632586', '37.476752')",3.234618774913706,0,0,0,2,12,24
"('55.644145', '37.473492')",4.1466298707290665,0,0,0,3,11,24
"('55.656428', '37.481576')",4.540221101119309,0,0,0,3,14,22
"('55.651978', '37.486005')",4.77169248598806,0,0,0,1,17,19
"('55.647163', '37.468192')",3.8263274857183096,0,0,0,3,12,23
"('55.646406', '37.482592')",4.288018520166438,0,0,0,2,16,19
"('55.645893', '37.477022')",4.372510100165125,0,0,0,3,14,21
"('55.632753', '37.474004')",3.371134975805171,0,0,0,2,11,24
"('55.64541', '37.481873')",4.209672117800167,0,0,0,2,15,20
"('55.64664', '37.47969')",4.395052688213463,0,0,0,2,15,20
"('55.645131', '37.487892')",4.019725985714393,0,0,0,1,19,16
"('55.654041', '37.489931')",4.909128960791387,0,0,0,1,17,19
"('55.713654', '37.607655')",1.9933622318908888,0,0,2,2,19,22
"('55.71019', '37.6180324')",2.204795763993603,0,0,2,5,16,25
"('55.7660893', '37.6114805')",2.8967340171423652,0,0,1,1,19,24
"('55.844395', '37.449093')",1.5232383465641623,0,0,5,2,12,17
"('55.7212377', '37.6943255')",0.44308561232880267,1,0,2,2,15,23
"('55.71947', '37.694398')",0.5791050155397185,0,1,1,3,13,25
"('55.770622', '37.560394')",2.3342413286389383,0,0,1,3,14,30
"('55.764236', '37.54028')",0.885944973705652,0,1,1,4,14,31
"('55.770306', '37.56461')",2.5498911116910836,0,0,1,3,13,31
"('55.774796', '37.556316')",2.408056517571585,0,0,1,3,14,30
"('55.757584', '37.555653')",1.7361366030011103,0,0,3,2,18,26
"('55.770573', '37.562954')",2.47152088218328,0,0,1,3,13,31
"('55.820855', '37.632772')",0.1299070031568936,1,0,5,5,11,21
"('55.822544', '37.629135')",0.31838757554225267,1,0,5,5,10,22
"('55.797701', '37.610754')",1.6020463609424416,0,0,4,1,17,22
"('55.601284', '37.586166')",2.348945403871137,0,0,2,5,14,13
"('55.608709', '37.590012')",1.6846021630298202,0,0,2,5,13,17
"('55.544494', '37.545527')",1.1460061606347014,0,0,3,2,8,10
"('55.524355', '37.513961')",3.0581611273961147,0,0,0,5,2,11
"('55.532966', '37.527265')",2.04983005826695,0,0,3,2,6,8
"('55.535061', '37.5418826')",1.3690019278637096,0,0,3,2,7,8
"('55.547056', '37.545968')",1.2760401729866404,0,0,3,2,8,10
"('55.549261', '37.545402')",1.389090173888943,0,0,3,2,8,10
"('55.709491', '37.9426752')",2.5126233322925584,0,0,1,1,4,4
"('55.708455', '37.925838')",2.246406070313237,0,0,1,3,2,7
"('55.830407', '37.580104')",1.8010396513785598,0,0,2,4,16,21
"('55.851677', '37.633286')",1.6718347290768325,0,0,5,4,12,16
"('55.87275', '37.712568')",3.6240786411636523,0,0,0,4,9,8
"('55.566445', '37.568129')",2.9792775004889127,0,0,1,3,9,14
"('55.565493', '37.56777')",2.8712186250590475,0,0,1,3,9,14
"('55.565646', '37.564123')",2.8671544546851857,0,0,1,3,9,13
"('55.546287', '37.555598')",0.8089890328894932,0,1,2,3,7,11
"('55.552408', '37.552157')",1.5169213608095007,0,0,3,1,9,10
"('55.561232', '37.586176')",2.7575862504075395,0,0,2,4,8,13
"('55.537792', '37.57569')",0.1387460129375732,1,1,2,3,7,10
"('55.684654', '37.531586')",3.9082132780399883,0,0,0,1,22,15
"('55.684777', '37.524597')",4.303892727609203,0,0,0,3,21,15
"('55.685806', '37.8624')",1.8729081903991764,0,0,2,2,5,10
"('55.72161', '37.8988')",1.7238553314625904,0,0,2,3,2,11
"('55.86932', '37.500324')",1.2769549887091411,0,0,2,1,16,9
"('55.717424', '37.496474')",1.886196114998769,0,0,2,5,14,24
"('55.73407', '37.490883')",0.24593647595574283,1,0,3,4,9,32
"('55.618878', '37.4144')",2.8589423179536197,0,0,1,2,6,20
"('55.7573443', '37.5119741')",0.2919661452344032,1,0,4,2,13,34
"('55.753686', '37.513143')",0.13773931232528042,1,0,3,3,12,33
"('55.7553539', '37.5108763')",0.09717882834646736,1,0,3,3,12,33
"('55.747288', '37.514957')",0.8490299234076119,0,1,2,4,13,31
"('55.764121', '37.513071')",1.0488498047676411,0,0,3,3,13,33
"('55.763697', '37.509925')",1.0072606589277957,0,0,3,3,14,32
"('55.7561254', '37.5136497')",0.18942955912139314,1,0,3,3,12,35
"('55.766567', '37.48703')",2.045838710771179,0,0,3,2,16,26
"('55.825189', '37.564284')",2.1292776315320854,0,0,1,3,18,19
"('55.731627', '37.581227')",1.2698599216009065,0,0,1,2,20,20
"('55.87241', '37.484568')",0.8116134734542101,0,1,1,4,8,17
"('55.865013', '37.474264')",0.4343822513432833,1,0,2,4,9,19
"('55.8675884', '37.4829033')",0.26922291566124606,1,0,1,5,8,19
"('55.872577', '37.488422')",0.9214088657806614,0,1,1,3,9,16
"('55.860827', '37.469728')",0.8774100274051212,0,1,1,6,7,20
"('55.778282', '37.517597')",0.9891626475681066,0,1,2,1,19,24
"('55.780279', '37.516602')",0.8399024272700081,0,1,2,1,18,25
"('55.775682', '37.538539')",1.8598015542533,0,0,3,1,15,28
"('55.77996', '37.526744')",1.4638337916146613,0,0,3,0,20,23
"('55.780168', '37.531307')",1.7409135386902994,0,0,2,1,19,23
"('55.76817', '37.502879')",1.6017636976722647,0,0,3,2,17,27
"('55.762136', '37.511105')",0.8271345919815543,0,1,2,4,12,34
"('55.763941', '37.509791')",1.035281358613922,0,0,3,3,14,32
"('55.761421', '37.512865')",0.7480873854152978,0,2,1,5,11,36
"('55.77633', '37.630726')",1.2513189848594446,0,0,1,3,19,22
"('55.770532', '37.629736')",1.8448349869085736,0,0,1,2,18,22
"('55.777454', '37.616173')",1.8595722066948936,0,0,1,4,18,26
"('55.797413', '37.52334')",2.040178529106291,0,0,1,3,18,21
"('55.778026', '37.540147')",2.1395692540434266,0,0,2,2,13,29
"('55.801632', '37.767635')",2.1413728553902596,0,0,2,1,14,9
"('55.805252', '37.773126')",1.6910889446486657,0,0,1,2,12,10
"('55.807419', '37.7761972')",1.446920262016356,0,0,1,2,11,11
"('55.802847', '37.728658')",0.7830893617395204,0,1,1,3,13,15
"('55.623778', '37.590865')",0.3019763333204279,1,0,2,4,16,17
"('55.644596', '37.602077')",0.5349459093419776,0,1,4,4,13,23
"('55.63721', '37.606773')",1.1996393447980507,0,0,5,3,14,22
"('55.76526', '37.607567')",3.131061365636589,0,0,0,2,19,24
"('55.769733', '37.604034')",2.9677882890422183,0,0,1,3,18,26
"('55.776112', '37.692765')",3.3504821926435877,0,0,0,5,13,22
"('55.745544', '37.75461')",1.613597899168809,0,0,2,2,12,22
"('55.721523', '37.62298')",2.6049584103723427,0,0,1,4,15,26
"('55.764493', '37.511489')",1.0882531915023623,0,0,3,3,14,32
"('55.754955', '37.5105626')",0.09053057802156309,1,0,3,3,12,33
"('55.765711', '37.480436')",2.3258346279821382,0,0,2,4,13,26
"('55.762666', '37.51291')",0.8865413634924635,0,1,2,4,12,34
"('55.618471', '37.723124')",3.3902779197855284,0,0,0,2,13,15
"('55.62146', '37.741')",3.765867962200996,0,0,0,2,12,15
"('55.6203272', '37.7387044')",3.7615846751860107,0,0,0,2,12,15
"('55.618268', '37.742196')",4.078940798395474,0,0,0,2,12,15
"('55.610321', '37.752895')",4.990742270126228,0,0,0,1,8,18
"('55.615476', '37.743274')",4.360445460536536,0,0,0,1,12,15
"('55.75946', '37.777428')",2.9576593281596755,0,0,1,2,11,19
"('55.76799', '37.837437')",2.490898977424139,0,0,1,0,10,7
"('55.829502', '37.82185')",3.1003350955467326,0,0,0,1,3,18
"('55.802103', '37.814483')",3.20106987275903,0,0,0,1,6,17
"('55.828674', '37.361018')",1.439483561144982,0,0,2,4,6,14
"('55.774406', '37.708931')",2.843176158435149,0,0,1,4,10,25
"('55.787513', '37.706766')",2.451344036868444,0,0,1,4,13,20
"('55.780834', '37.692688')",3.2191193139241174,0,0,0,5,13,20
"('55.774603', '37.696489')",3.326180811837751,0,0,0,5,13,22
"('55.7814011', '37.7250089')",2.9908554373898792,0,0,1,2,15,16
"('55.774887', '37.707783')",2.9261684065127653,0,0,1,4,10,25
"('55.772861', '37.710287')",2.651841715772867,0,0,1,4,10,25
"('55.773388', '37.708965')",2.7451294743311476,0,0,1,4,10,25
"('55.780294', '37.705535')",3.2381042678831577,0,0,0,5,12,22
"('55.780319', '37.699211')",3.3714681354956992,0,0,0,5,13,21
"('55.78202', '37.726655')",2.934211385860762,0,0,1,2,15,16
"('55.77309', '37.706074')",2.817764201532472,0,0,1,4,11,24
"('55.708225', '37.819244')",2.362863005605071,0,0,2,2,8,16
"('55.703641', '37.790934')",4.046991743155405,0,0,0,2,11,16
"('55.694096', '37.81723')",2.552664872556696,0,0,1,2,9,15
"('55.70041', '37.809479')",2.884114322309864,0,0,1,2,11,14
"('55.712409', '37.803657')",3.439025371847446,0,0,0,4,9,16
"('55.704002', '37.813073')",2.6597437344493544,0,0,1,3,8,16
"('55.67559', '37.465694')",2.1848565785024445,0,0,2,1,18,12
"('55.675103', '37.499516')",3.6331709317084173,0,0,0,2,20,14
"('55.661328', '37.468308')",3.738786886600259,0,0,0,4,13,22
"('55.67558', '37.475612')",2.4992668652398016,0,0,2,1,20,12
"('55.665492', '37.498743')",4.297480974934495,0,0,0,2,18,17
"('55.667126', '37.495132')",4.009503719524626,0,0,0,2,19,16
"('55.608139', '37.58597')",1.729710552219199,0,0,2,4,15,14
"('55.61545', '37.587723')",0.9215972187049911,0,1,1,5,14,17
"('55.881177', '37.5349')",2.1516478471345186,0,0,1,2,14,13
"('55.495937', '37.519247')",79.31998231465275,0,0,0,0,0,0
"('55.497256', '37.519036')",79.41424936680752,0,0,0,0,0,0
"('55.498654', '36.9174438')",136.99708136255992,0,0,0,0,0,0
"('55.504986', '37.534794')",1.5676224177021865,0,0,1,3,2,8
"('55.508542', '37.581629')",1.121157372319462,0,0,2,2,4,7
"('55.520161', '37.212217')",10.694236452881617,0,0,0,0,0,1
"('55.532666', '37.521408')",2.0756483814641333,0,0,2,3,5,9
"('55.53827', '37.51017')",1.6793877403772486,0,0,1,4,4,10
"('55.539732', '37.581271')",0.546366849781137,0,1,2,3,7,11
"('55.540928', '37.57667')",0.42755350649321966,1,1,2,3,7,10
"('55.541504', '37.57544')",0.4592959943831783,1,1,2,3,7,10
"('55.54193', '37.560745')",0.23266226095056627,1,1,3,2,8,10
"('55.543516', '37.511544')",1.153684765086371,0,0,1,2,6,11
"('55.5437', '37.483508')",2.6718091862622204,0,0,1,1,5,10
"('55.544255', '37.52324')",0.7809401660935168,0,1,1,4,6,10
"('55.54753', '37.323517')",8.002434602878036,0,0,0,0,1,6
"('55.547712', '37.487459')",2.3200544379904433,0,0,1,1,6,12
"('55.5479124', '37.5569644')",0.939904342238788,0,1,2,3,7,11
"('55.548894', '37.53835')",0.9628610951497043,0,1,2,3,7,11
"('55.54921', '37.556559')",1.0850927062894329,0,0,3,2,8,10
"('55.549725', '37.489455')",2.166841558342253,0,0,1,1,6,12
"('55.554236', '37.465838')",3.66538078082641,0,0,0,1,5,12
"('55.565136', '37.576405')",2.9541741879174364,0,0,1,4,8,13
"('55.57462', '37.469227')",4.308683445802864,0,0,0,2,6,17
"('55.585067', '37.602067')",2.125484770064275,0,0,2,2,15,9
"('55.587285', '37.456981')",4.457600564310025,0,0,0,1,7,19
"('55.589198', '37.602714')",1.7620595035233968,0,0,2,2,16,9
"('55.590343', '37.606334')",1.5087665797831002,0,0,2,3,15,10
"('55.593735', '37.596184')",1.843741141230489,0,0,1,4,16,11
"('55.594102', '37.664976')",0.7021384315665585,0,1,2,2,15,9
"('55.598405', '37.519476')",1.5589790356683613,0,0,1,0,14,15
"('55.601004', '37.717178')",3.850155807563107,0,0,0,1,13,13
"('55.602615', '37.584515')",2.3467702119104423,0,0,2,4,15,13
"('55.604692', '37.661105')",1.81775005505961,0,0,3,1,16,8
"('55.604866', '37.55593')",2.82726271264085,0,0,2,1,15,16
"('55.605583', '37.743668')",5.274129845592952,0,0,0,0,9,17
"('55.605858', '37.664731')",1.9665926374836615,0,0,3,3,14,11
"('55.606131', '37.411705')",4.25393524289049,0,0,0,1,6,16
"('55.606945', '37.72538')",4.592733671702572,0,0,0,2,12,14
"('55.607377', '37.705023')",3.5236392865471085,0,0,0,3,12,14
"('55.607377', '37.712749')",3.923995420568507,0,0,0,3,11,16
"('55.607956', '37.729035')",4.609392911718906,0,0,0,2,12,14
"('55.608348', '37.546417')",2.1563408759838056,0,0,1,2,14,18
"('55.608389', '37.613683')",1.1268314062860947,0,0,2,5,13,16
"('55.608816', '37.535412')",1.4668856402656045,0,0,1,1,15,17
"('55.612506', '37.749863')",4.880257576349225,0,0,0,1,9,18
"('55.6131349', '37.7484728')",4.77018889615001,0,0,0,1,9,18
"('55.615967', '37.546543')",2.175849150342211,0,0,2,1,17,15
"('55.616127', '37.756587')",4.478119425846716,0,0,0,2,7,18
"('55.617378', '37.411463')",3.003711242896662,0,0,0,3,5,21
"('55.618336', '37.74964')",4.396361764396168,0,0,0,2,9,18
"('55.618679', '37.586006')",0.5562462721953808,0,1,1,5,14,19
"('55.618761', '37.263555')",0.827909752971255,0,1,0,1,4,4
"('55.619467', '37.415344')",2.8037963472001723,0,0,1,2,6,20
"('55.621333', '37.303602')",2.656469092656441,0,0,1,0,5,4
"('55.623238', '37.588825')",0.17994677592334576,1,0,2,5,15,18
"('55.623427', '37.697963')",2.499103618837239,0,0,1,4,12,15
"('55.62451', '37.652077')",0.7262457513444529,0,1,1,7,10,17
"('55.627397', '37.718471')",2.3745225801880014,0,0,1,2,14,15
"('55.627663', '37.488953')",2.310589277634315,0,0,1,0,16,20
"('55.62883', '37.512937')",1.886708992484021,0,0,1,1,17,18
"('55.628932', '37.341843')",3.530847607236071,0,0,0,3,4,8
"('55.630085', '37.655463')",0.727563058099654,0,1,1,10,7,23
"('55.633932', '37.529214')",2.6642381472766954,0,0,1,2,18,18
"('55.634812', '37.539715')",3.065388730939929,0,0,0,3,16,20
"('55.636621', '37.60549')",1.1957426238737552,0,0,5,3,14,22
"('55.637581', '37.428073')",1.4868654733797237,0,0,2,1,7,22
"('55.63786', '37.429815')",1.5683815256192226,0,0,2,1,8,22
"('55.63816', '37.756299')",3.672754375704849,0,0,0,3,11,14
"('55.638175', '37.531765')",3.1621291048861377,0,0,0,3,17,19
"('55.640335', '37.309199')",3.615840385088598,0,0,0,3,2,9
"('55.640423', '37.61026')",1.1656288096596255,0,0,5,4,13,23
"('55.641773', '37.362869')",1.6162179764002205,0,0,3,1,7,9
"('55.641919', '37.677708')",1.4452754463573871,0,0,4,3,15,12
"('55.642372', '37.672468')",1.7506554705683235,0,0,4,5,13,15
"('55.642977', '37.393074')",0.9281383281383383,0,1,2,2,7,16
"('55.643465', '37.725496')",1.6532667841278148,0,0,2,0,17,10
"('55.643744', '37.492284')",3.7746784947639536,0,0,0,1,18,17
"('55.644206', '37.490551')",3.8612756807656763,0,0,0,1,18,16
"('55.645367', '37.34869')",1.6511530259710758,0,0,2,2,6,7
"('55.645553', '37.495779')",3.8984197111483088,0,0,0,1,19,15
"('55.647728', '37.65381')",0.8023438925518045,0,1,3,7,11,21
"('55.648794', '37.388188')",0.823105411806177,0,1,3,1,8,14
"('55.649276', '37.660215')",1.2073113873511623,0,0,6,4,13,19
"('55.649312', '37.717842')",1.1549288985824788,0,0,2,2,17,10
"('55.6495', '37.387846')",0.7581567805930147,0,1,3,1,8,14
"('55.649571', '37.400135')",0.7558823348104672,0,1,2,2,8,16
"('55.650836', '37.597387')",0.6918788053967997,0,1,4,5,13,23
"('55.6522', '37.47304')",4.211311465423556,0,0,0,3,14,22
"('55.652796', '37.474192')",4.296395124459927,0,0,0,4,13,23
"('55.65313', '37.715218')",0.809220083602079,0,1,1,3,16,11
"('55.654823', '37.409011')",0.6801183965120042,0,1,2,2,8,18
"('55.655254', '37.609595')",0.8388077565591754,0,1,4,5,14,22
"('55.65559', '37.469305')",4.081848035926989,0,0,0,4,12,24
"('55.6561864', '37.516193')",4.937110135391926,0,0,0,1,20,16
"('55.656301', '37.413089')",0.7839315296835351,0,1,2,4,6,21
"('55.65724', '37.494548')",4.856156753924497,0,0,0,1,19,17
"('55.658124', '37.602005')",0.6045371657225568,0,1,5,5,14,22
"('55.658581', '37.744262')",2.619540601064988,0,0,1,1,16,10
"('55.660374', '37.602049')",0.41563971697479113,1,0,6,4,15,23
"('55.660977', '37.514252')",5.302941448993241,0,0,0,0,22,14
"('55.661496', '37.47147')",3.780683311883968,0,0,0,4,14,21
"('55.661547', '37.473923')",3.8283082803757247,0,0,0,4,15,20
"('55.661836', '37.516')",5.232850993266212,0,0,0,0,22,14
"('55.6620528', '37.5125239')",5.183611650166529,0,0,0,0,23,13
"('55.662434', '37.58476')",1.4159758825200282,0,0,4,5,16,22
"('55.662816', '37.471614')",3.6450655394524487,0,0,0,4,15,20
"('55.666086', '37.561688')",2.892735856772968,0,0,1,6,15,23
"('55.666142', '37.511356')",4.8292592168374275,0,0,0,1,22,14
"('55.666589', '37.586518')",1.3759944828829915,0,0,5,4,17,21
"('55.666868', '37.505678')",4.504585449963324,0,0,0,2,20,15
"('55.668021', '37.508741')",4.569761840381131,0,0,0,2,21,14
"('55.668386', '37.56379')",2.8083076893846335,0,0,1,5,15,23
"('55.669544', '37.78783')",4.515067640869547,0,0,0,1,13,12
"('55.67065', '37.6115')",0.5438021305394785,0,2,2,7,11,26
"('55.6714126', '37.5485865')",3.818027234418243,0,0,0,6,19,20
"('55.671494', '37.599518')",1.0963531518610228,0,0,5,4,16,21
"('55.671555', '37.78962')",4.666807745118875,0,0,0,1,13,12
"('55.6726', '37.464283')",2.4646808028856584,0,0,2,2,17,13
"('55.672905', '37.524318')",4.981861722310245,0,0,0,1,22,15
"('55.673138', '37.66627')",0.4775910026142025,1,0,3,6,13,20
"('55.67335', '37.51068')",4.328808552263599,0,0,0,2,23,12
"('55.6736287', '37.4948009')",3.4952334969343806,0,0,0,2,20,14
"('55.674118', '37.507008')",4.087361528885322,0,0,0,2,23,11
"('55.674671', '37.487712')",3.083565882870767,0,0,0,2,19,15
"('55.675529', '37.598618')",1.441529768981834,0,0,5,4,16,20
"('55.675798', '37.443982')",2.0454849298303652,0,0,2,4,10,20
"('55.6758988', '37.4906266')",3.1319165741661186,0,0,0,2,20,14
"('55.676154', '37.536131')",4.173181918647987,0,0,0,2,20,17
"('55.6773', '37.50356')",3.719959463585966,0,0,0,2,22,13
"('55.677837', '37.763638')",4.5581320585146505,0,0,0,1,17,11
"('55.678169', '37.580939')",2.3914864837735137,0,0,4,3,20,16
"('55.678382', '37.599301')",1.2765968152428873,0,0,5,4,16,21
"('55.678707', '37.634631')",1.0603331915079257,0,0,5,4,13,25
"('55.678768', '37.578702')",2.4025413149607435,0,0,4,2,21,17
"('55.679245', '37.685055')",1.628878623992048,0,0,2,6,13,20
"('55.67928', '37.542428')",3.646344659189209,0,0,0,5,17,20
"('55.68027', '37.515191')",4.2462527186930314,0,0,0,2,22,14
"('55.68032', '37.45746')",1.5198942918431007,0,0,2,2,15,15
"('55.680935', '37.75373')",4.2717670474029,0,0,0,1,17,12
"('55.681067', '37.48296')",2.399164237544087,0,0,2,0,21,11
"('55.681163', '37.610233')",0.5358518429166256,0,1,4,5,14,23
"('55.681194', '37.527696')",4.3016565440403465,0,0,0,2,22,14
"('55.681275', '37.718238')",3.033036264718541,0,0,0,5,13,17
"('55.681387', '37.674445')",1.1168052572264067,0,0,2,8,10,26
"('55.682645', '37.637434')",1.1835765433361534,0,0,6,2,16,21
"('55.682674', '37.650345')",0.9984762646233719,0,1,4,5,13,25
"('55.682747', '37.489356')",2.6456800606090494,0,0,2,0,21,13
"('55.683239', '37.530939')",4.014654475007584,0,0,0,1,22,15
"('55.683407', '37.555355')",2.728458744697219,0,0,1,5,17,21
"('55.6834388', '37.6950682')",2.3742402450356552,0,0,1,6,11,23
"('55.683518', '37.530256')",4.038896742091675,0,0,0,1,22,15
"('55.683563', '37.67088')",1.1239088617523822,0,0,2,8,10,26
"('55.6836471', '37.6983498')",2.5752066160144507,0,0,1,5,12,22
"('55.68402', '37.656307')",0.9705622848747761,0,1,4,5,13,25
"('55.684366', '37.533993')",3.786493076347332,0,0,0,1,22,15
"('55.6846329', '37.6990343')",2.655361918952017,0,0,1,5,12,22
"('55.685158', '37.68641')",1.975602517406587,0,0,1,8,9,27
"('55.685234', '37.921005')",0.596117746037569,0,1,0,3,3,8
"('55.685477', '37.593345')",1.6271850567735875,0,0,5,3,20,17
"('55.686504', '37.681038')",1.7992070832392986,0,0,2,7,10,27
"('55.686579', '37.676933')",1.6250444295207964,0,0,2,7,10,27
"('55.6895027', '37.655056')",1.5836076181805196,0,0,4,6,11,30
"('55.689725', '37.854746')",1.3821566513483161,0,0,2,2,5,13
"('55.690258', '37.495583')",2.7696504892474065,0,0,1,2,20,12
"('55.6907642', '37.6558984')",1.5693630636975304,0,0,3,7,10,31
"('55.690821', '37.858824')",1.2796701486073447,0,0,2,2,5,10
"('55.692851', '37.562766')",1.7454303225290093,0,0,1,5,17,23
"('55.693957', '37.585098')",0.6643211924565058,0,1,1,6,15,25
"('55.694435', '37.602634')",1.1093540414302236,0,0,2,5,17,22
"('55.695246', '37.85073')",0.8180408095791262,0,1,1,3,6,14
"('55.69553', '37.56943')",1.2407435503742368,0,0,1,5,18,22
"('55.697853', '37.944029')",1.4309716358741047,0,0,1,0,5,3
"('55.698437', '37.942906')",1.4347748038883212,0,0,1,0,5,3
"('55.698589', '37.825856')",1.8897968996591745,0,0,2,1,10,13
"('55.69868', '37.92679')",1.1571540100592699,0,0,1,3,3,7
"('55.69899', '37.928253')",1.1856494631528236,0,0,1,3,3,7
"('55.699287', '37.74525')",3.926491219914297,0,0,0,2,16,15
"('55.700645', '37.930508')",1.374155028018887,0,0,1,3,2,7
"('55.7008162', '37.768386')",4.409705683958648,0,0,0,2,13,17
"('55.70108', '37.661356')",0.7257072544885101,0,1,1,6,12,29
"('55.701775', '37.663404')",0.8023064411251454,0,1,1,6,12,29
"('55.702296', '37.781559')",4.633046853110637,0,0,0,2,11,17
"('55.702312', '37.640633')",0.7438560339360483,0,1,1,7,14,28
"('55.702926', '37.67855')",1.6984154713096509,0,0,2,3,14,27
"('55.703022', '37.81619')",2.457661934002748,0,0,1,3,8,16
"('55.70323', '37.670753')",1.2077521511316232,0,0,2,3,14,27
"('55.703373', '37.943616')",1.9176099069496682,0,0,1,0,5,3
"('55.703976', '37.923798')",1.767714600900505,0,0,1,3,2,8
"('55.70442', '37.77749')",4.433042692494845,0,0,0,2,11,17
"('55.704524', '37.615371')",1.8194348258030228,0,0,3,5,16,24
"('55.706715', '37.615067')",1.8876983366945366,0,0,3,5,17,23
"('55.707365', '37.57775')",1.0545209840402519,0,0,1,3,20,20
"('55.707623', '37.768561')",3.7985924832701237,0,0,0,2,12,17
"('55.707745', '37.671875')",1.313385432276487,0,0,2,3,14,27
"('55.707841', '37.655472')",0.42586611683297854,1,0,1,6,12,31
"('55.708785', '37.676807')",1.6431940721427207,0,0,2,3,14,28
"('55.70927', '37.61811')",2.1736972563985075,0,0,2,5,16,25
"('55.709424', '37.817735')",2.4940391005681466,0,0,2,2,8,16
"('55.709713', '37.679412')",1.8300675328953362,0,0,2,3,14,26
"('55.710094', '37.65888')",0.7544441495833243,0,1,1,4,14,29
"('55.710106', '37.679943')",1.8755366255179675,0,0,2,3,14,26
"('55.7106908', '37.5980618')",1.3823332661145742,0,0,1,4,21,18
"('55.712452', '37.940418')",2.7830465851983934,0,0,1,2,3,5
"('55.7125233', '37.5968509')",1.535113911805336,0,0,1,3,22,18
"('55.71271', '37.644478')",1.0049641632306001,0,0,1,4,16,27
"('55.713135', '37.618526')",2.2894625762943708,0,0,2,4,17,24
"('55.713441', '37.721292')",1.7520976640127341,0,0,2,2,16,21
"('55.7135459', '37.4365861')",0.798967047252181,0,1,3,3,13,16
"('55.7137', '37.621838')",2.1304976796240336,0,0,2,3,17,22
"('55.713725', '37.520222')",2.7973161543465572,0,0,1,5,15,24
"('55.713796', '37.483939')",2.367464547586944,0,0,2,4,14,20
"('55.713968', '37.405121')",1.179655249119665,0,0,1,4,10,18
"('55.7140296', '37.4352823')",0.7162719934242362,0,1,3,3,13,18
"('55.71482', '37.750029')",2.478776426138837,0,0,1,2,12,20
"('55.714883', '37.4332517')",0.5987815028250766,0,1,3,3,13,17
"('55.714891', '37.477399')",2.0537944681942553,0,0,4,2,15,19
"('55.71548', '37.479034')",2.0446977888292857,0,0,3,3,15,19
"('55.715626', '37.410106')",0.8876068533345605,0,1,1,4,11,17
"('55.715839', '37.434361')",0.6930622949435133,0,1,3,3,13,17
"('55.715961', '37.751026')",2.401345871420732,0,0,1,2,12,20
"('55.7164084', '37.6343347')",1.704052373169988,0,0,1,4,16,27
"('55.7166', '37.50902')",2.1684177082161273,0,0,1,6,13,27
"('55.71675', '37.57678')",2.0144044210895973,0,0,2,2,19,21
"('55.71697', '37.500816')",1.9706739909535034,0,0,2,5,15,24
"('55.717188', '37.619522')",2.4574638707014778,0,0,2,2,19,21
"('55.71729', '37.6213')",2.3730097372751855,0,0,2,3,17,24
"('55.717295', '37.595097')",2.0090625399087902,0,0,2,2,20,20
"('55.717579', '37.594225')",2.0280435669927996,0,0,2,2,20,20
"('55.718096', '37.666072')",1.7472067935375273,0,0,2,2,16,24
"('55.71883', '37.477623')",1.6808542188452018,0,0,2,5,11,24
"('55.718884', '37.634678')",1.9115621182859905,0,0,1,4,15,27
"('55.719009', '37.414993')",0.7984648066793254,0,1,1,4,11,17
"('55.7191524', '37.8311864')",2.15423281200816,0,0,4,0,9,12
