coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.801455', '37.63765')",0.0,5,17,174,466,1703,1802
"('55.812292', '37.653316')",0.0,13,21,119,317,1654,1573
"('55.814062', '37.623735')",0.0,10,16,134,351,1797,1533
"('55.816387', '37.656082')",0.0,12,14,108,297,1635,1511
"('55.8086143', '37.6472031')",0.0,15,27,130,355,1708,1624
"('55.817613', '37.661859')",0.0,6,13,109,280,1599,1506
"('55.8114519', '37.6453291')",0.0,17,28,110,349,1680,1605
"('55.8064017', '37.6481266')",0.0,10,27,132,376,1699,1662
"('55.81082', '37.626268')",0.0,9,27,126,401,1771,1622
"('55.809889', '37.624723')",0.0,7,28,133,414,1781,1636
"('55.810364', '37.642968')",0.0,21,20,126,346,1727,1598
"('55.8075152', '37.647491')",0.0,12,28,131,364,1703,1644
"('55.813637', '37.645501')",0.0,14,32,102,343,1672,1569
"('55.816328', '37.631379')",0.0,10,25,120,323,1748,1499
"('55.804612', '37.635503')",0.0,14,20,146,453,1719,1750
"('55.812752', '37.647549')",0.0,17,28,106,341,1662,1592
"('55.812337', '37.658571')",0.0,6,19,122,306,1646,1564
"('55.8134', '37.659847')",0.0,8,14,126,296,1641,1543
"('55.815367', '37.659084')",0.0,9,13,113,295,1633,1518
"('55.806282', '37.640947')",0.0,18,21,135,426,1703,1710
"('55.814117', '37.64788')",0.0,14,29,99,333,1644,1579
"('55.811331', '37.658086')",0.0,6,18,128,304,1655,1579
"('55.806499', '37.643911')",0.0,13,29,131,417,1679,1711
"('55.80527', '37.63897')",0.0,16,20,140,446,1707,1737
"('55.801536', '37.636715')",0.0,5,17,173,464,1713,1800
"('55.806565', '37.642662')",0.0,16,26,130,418,1696,1701
"('55.815556', '37.624374')",0.0,9,17,130,333,1792,1503
"('55.816045', '37.627247')",0.0,10,20,129,327,1768,1501
"('55.8145435', '37.6248368')",0.0,11,17,132,343,1794,1520
"('55.8158484', '37.6282409')",0.0,11,20,129,329,1760,1510
"('55.812216', '37.632368')",0.0,11,36,116,382,1736,1605
"('55.810602', '37.632098')",0.0,15,31,125,386,1759,1623
"('55.809904', '37.635081')",0.0,16,33,119,404,1725,1658
"('55.810688', '37.63676')",0.0,18,32,117,386,1726,1629
"('55.8039169', '37.6292881')",0.0,6,23,158,464,1733,1793
"('55.806545', '37.632107')",0.0,12,26,129,448,1716,1749
"('55.808948', '37.638')",0.0,21,26,122,403,1711,1672
"('55.632825', '37.744549')",0.0,6,7,118,125,592,1219
"('55.6339225', '37.7472722')",0.0,8,8,114,133,575,1224
"('55.63254', '37.762471')",0.0,5,10,95,136,494,1147
"('55.633953', '37.761078')",0.0,10,9,99,137,512,1155
"('55.633537', '37.760845')",0.0,9,10,98,138,510,1155
"('55.637333', '37.77095')",0.0,6,5,85,144,485,1118
"('55.632139', '37.755392')",0.0,7,13,100,134,527,1166
"('55.635157', '37.746624')",0.0,6,9,118,132,593,1230
"('55.636356', '37.747639')",0.0,6,8,117,137,600,1223
"('55.663918', '37.751772')",0.0,8,19,112,148,801,1465
"('55.69559', '37.604717')",0.0,7,8,180,390,1843,1893
"('55.625755', '37.722882')",0.0,3,9,132,112,605,1217
"('55.6201123', '37.7485915')",0.0,9,18,91,109,495,1076
"('55.679991', '37.68447')",0.0,9,24,79,239,1353,1880
"('55.601203', '37.727553')",0.0,8,18,71,96,457,926
"('55.644008', '37.712542')",0.0,7,12,83,235,783,1503
"('55.619118', '37.72502')",0.0,6,12,108,129,520,1191
"('55.6499812', '37.738784')",0.0,7,9,119,153,763,1382
"('55.64665', '37.657637')",0.0,6,3,59,231,1091,1706
"('55.652496', '37.745007')",0.0,5,15,119,145,747,1381
"('55.678047', '37.6773')",0.0,10,18,80,236,1387,1828
"('55.641854', '37.763827')",0.0,4,10,101,132,570,1172
"('55.639517', '37.755491')",0.0,2,19,109,143,593,1199
"('55.637714', '37.76347')",0.0,10,5,104,134,540,1141
"('55.6413', '37.767582')",0.0,5,6,90,141,537,1144
"('55.633658', '37.753928')",0.0,9,11,105,136,543,1183
"('55.629684', '37.745367')",0.0,5,9,114,122,570,1189
"('55.636824', '37.764995')",0.0,7,8,97,140,516,1142
"('55.637592', '37.76461')",0.0,8,7,100,137,532,1137
"('55.537801', '37.503971')",0.0,7,8,68,96,248,648
"('55.659414', '37.759569')",0.0,8,21,111,132,712,1377
"('55.645426', '37.733707')",0.0,4,13,106,191,708,1388
"('55.6482618', '37.7208167')",0.0,10,14,87,230,786,1514
"('55.62235', '37.737614')",0.0,9,14,119,96,559,1128
"('55.65431', '37.763728')",0.0,9,8,118,103,674,1254
"('55.616661', '37.745322')",0.0,12,18,93,95,494,1035
"('55.688061', '37.7176547')",0.0,2,11,89,275,1210,1891
"('55.618898', '37.719163')",0.0,4,15,101,130,536,1203
"('55.63636', '37.657097')",0.0,4,10,52,203,971,1546
"('55.635889', '37.76592')",0.0,8,7,94,138,507,1137
"('55.634237', '37.748601')",0.0,8,8,113,134,570,1220
"('55.60817', '37.72758')",0.0,8,14,81,117,470,1037
"('55.593726', '37.53826')",0.0,3,3,40,172,701,1030
"('55.592744', '37.668713')",0.0,5,10,48,121,508,1054
"('55.674631', '37.51344')",0.0,11,25,195,364,1260,1958
"('55.616676', '37.497063')",0.0,7,4,60,140,920,1086
"('55.889816', '37.663322')",0.0,7,10,77,130,493,1285
"('55.77557', '37.498096')",0.0,5,15,241,376,1720,1807
"('55.720956', '37.811016')",0.0,3,12,111,178,750,1373
"('55.67145', '37.766468')",0.0,7,24,84,190,736,1495
"('55.632526', '37.67765')",0.0,5,6,61,201,819,1493
"('55.896161', '37.612811')",0.0,5,13,71,164,515,1261
"('55.88001', '37.59277')",0.0,4,14,124,202,701,1509
"('55.876293', '37.580788')",0.0,3,8,144,189,803,1460
"('55.887276', '37.615047')",0.0,4,5,110,186,588,1398
"('55.900829', '37.589051')",0.0,3,8,70,155,493,1126
"('55.8798634', '37.5972609')",0.0,3,13,125,211,681,1532
"('55.89701', '37.600998')",0.0,4,10,76,167,520,1215
"('55.897686', '37.582394')",0.0,3,14,79,167,525,1200
"('55.896171', '37.618498')",0.0,3,11,78,141,498,1273
"('55.902858', '37.574543')",0.0,4,7,75,127,522,1059
"('55.891182', '37.603416')",0.0,5,13,95,183,569,1344
"('55.892092', '37.621902')",0.0,2,10,96,154,539,1329
"('55.898866', '37.625424')",0.0,2,6,69,131,464,1210
"('55.899199', '37.605652')",0.0,3,9,59,164,489,1175
"('55.900547', '37.61407')",0.0,4,5,62,142,461,1165
"('55.90435', '37.58175')",0.0,4,6,67,130,496,1034
"('55.90553', '37.57319')",0.0,5,2,71,120,503,996
"('55.890007', '37.605481')",0.0,5,10,102,180,579,1347
"('55.907279', '37.567455')",0.0,3,4,62,117,503,952
"('55.89237', '37.577418')",0.0,5,6,108,154,629,1264
"('55.881226', '37.583374')",0.0,3,12,135,182,731,1438
"('55.896626', '37.594494')",0.0,3,12,74,172,526,1215
"('55.887836', '37.615784')",0.0,5,5,110,181,587,1384
"('55.894844', '37.583355')",0.0,7,6,95,159,573,1225
"('55.892006', '37.613826')",0.0,4,14,92,177,552,1326
"('55.89137', '37.58552')",0.0,4,11,103,168,618,1299
"('55.890163', '37.584946')",0.0,2,14,107,169,634,1312
"('55.905357', '37.575756')",0.0,4,6,63,128,496,1010
"('55.90627', '37.567528')",0.0,3,5,65,126,503,980
"('55.900433', '37.608994')",0.0,3,6,59,156,475,1154
"('55.892844', '37.577606')",0.0,5,6,108,152,623,1252
"('55.883244', '37.59594')",0.0,6,6,120,201,649,1480
"('55.895966', '37.570446')",0.0,3,6,102,134,604,1190
"('55.893808', '37.577376')",0.0,6,6,102,155,607,1244
"('55.894667', '37.590057')",0.0,4,13,78,189,536,1271
"('55.893713', '37.629421')",0.0,2,8,88,147,496,1323
"('55.886086', '37.592472')",0.0,4,11,109,191,630,1429
"('55.888966', '37.598743')",0.0,4,10,104,188,593,1375
"('55.904367', '37.589069')",0.0,3,6,61,148,466,1043
"('55.843414', '37.566072')",0.0,7,10,95,322,1390,1489
"('55.679311', '37.44727')",0.0,7,4,87,288,932,1752
"('55.696161', '37.476761')",0.0,10,16,164,316,1326,1772
"('55.698874', '37.468312')",0.0,11,17,173,296,1301,1774
"('55.696123', '37.469817')",0.0,17,12,167,300,1260,1810
"('55.696037', '37.460421')",0.0,2,23,137,302,1146,1866
"('55.694454', '37.470581')",0.0,12,15,150,318,1228,1834
"('55.698004', '37.474411')",0.0,14,16,169,314,1330,1770
"('55.693622', '37.469189')",0.0,10,16,144,322,1198,1854
"('55.6988776', '37.4683463')",0.0,11,17,173,296,1301,1774
"('55.692024', '37.467509')",0.0,10,16,140,325,1135,1894
"('55.700104', '37.468034')",0.0,10,21,166,297,1310,1765
"('55.689918', '37.47024')",0.0,8,12,155,318,1152,1874
"('55.692745', '37.453403')",0.0,2,3,129,302,1048,1871
"('55.698622', '37.474517')",0.0,12,18,169,311,1341,1762
"('55.70595', '37.47959')",0.0,4,31,169,305,1479,1687
"('55.695611', '37.47351')",0.0,14,14,161,315,1283,1800
"('55.699393', '37.468928')",0.0,11,18,171,297,1310,1771
"('55.699981', '37.466479')",0.0,7,23,161,293,1300,1764
"('55.696423', '37.47377')",0.0,15,15,166,311,1299,1790
"('55.707295', '37.456822')",0.0,5,13,178,239,1326,1688
"('55.713496', '37.487469')",0.0,7,24,199,264,1709,1558
"('55.689035', '37.46997')",0.0,7,12,156,313,1151,1862
"('55.69408', '37.477095')",0.0,10,18,164,313,1296,1786
"('55.702323', '37.463035')",0.0,6,20,172,274,1311,1727
"('55.739404', '37.739899')",0.0,1,3,113,280,1427,1611
"('55.704327', '37.780437')",0.0,8,24,103,201,845,1607
"('55.856982', '37.637569')",0.0,3,15,132,193,1048,1575
"('55.647465', '37.610672')",0.0,11,20,106,230,1232,1764
"('55.873541', '37.705095')",0.0,4,10,55,85,596,1264
"('55.880295', '37.496174')",0.0,3,8,115,153,735,1092
"('55.874567', '37.580077')",0.0,2,9,144,194,826,1475
"('55.81745', '37.800865')",0.0,4,14,110,86,547,1292
"('55.865541', '37.653909')",0.0,6,13,133,124,822,1580
"('55.714035', '37.765884')",0.0,3,18,131,177,1053,1632
"('55.707491', '37.928632')",0.0,8,16,43,26,225,522
"('55.722036', '37.787498')",0.0,4,11,142,147,1008,1440
"('55.81021', '37.723045')",0.0,12,15,122,217,1215,1620
"('55.783524', '37.467096')",0.0,20,32,131,301,1535,1645
"('55.728652', '37.68067')",0.0,14,21,187,355,1753,1926
"('55.70653', '37.786743')",0.0,11,18,112,199,810,1579
"('55.926605', '37.5402')",0.0,2,5,18,52,414,674
"('55.738388', '37.7049')",0.0,5,11,176,327,1693,1740
"('55.672306', '37.76203')",0.0,10,19,98,186,778,1516
"('55.807101', '37.799328')",0.0,5,24,117,105,602,1404
"('55.70053', '37.758266')",0.0,6,18,127,190,1008,1695
"('55.704874', '37.916936')",0.0,6,11,49,38,254,590
"('55.518265', '37.572701')",0.0,2,2,29,68,229,422
"('55.653126', '37.558723')",0.0,9,9,198,307,1111,2039
"('55.500856', '37.522207')",0.0,6,8,20,49,169,325
"('55.697179', '37.512577')",0.0,6,14,202,357,1643,1745
"('55.566231', '37.497629')",0.0,5,10,69,110,407,889
"('55.65675', '37.563213')",0.0,13,14,208,294,1176,2059
"('55.661217', '37.52978')",0.0,7,20,235,290,1214,2000
"('55.592378', '37.604232')",0.0,11,15,62,136,722,992
"('55.603141', '37.588656')",0.0,5,14,69,152,843,1064
"('55.587453', '37.597163')",0.0,11,10,71,115,677,976
"('55.59687', '37.593704')",0.0,6,19,55,150,773,1034
"('55.5838', '37.591288')",0.0,1,20,62,117,635,972
"('55.596457', '37.599822')",0.0,7,17,57,152,764,1026
"('55.581726', '37.580842')",0.0,8,3,72,100,642,919
"('55.587056', '37.610538')",0.0,4,14,68,110,671,927
"('55.584645', '37.603487')",0.0,5,13,74,103,656,922
"('55.582392', '37.58034')",0.0,8,3,78,95,658,913
"('55.589977', '37.601196')",0.0,14,9,71,119,705,985
"('55.591259', '37.598339')",0.0,13,12,63,127,718,994
"('55.555184', '37.554008')",0.0,3,9,61,106,368,830
"('55.669518', '37.628882')",0.0,2,8,125,298,1533,1788
"('55.582412', '37.578797')",0.0,8,3,76,98,650,919
"('55.582629', '37.582469')",0.0,8,3,74,96,660,914
"('55.590913', '37.594953')",0.0,9,14,65,126,711,1005
"('55.588415', '37.601798')",0.0,14,8,75,114,689,972
"('55.581872', '37.579927')",0.0,8,3,75,99,644,918
"('55.594055', '37.598114')",0.0,11,13,62,138,743,1009
"('55.587517', '37.610997')",0.0,4,13,69,108,672,933
"('55.5979409', '37.608826')",0.0,4,15,67,150,767,1045
"('55.593605', '37.605865')",0.0,7,20,59,143,716,1008
"('55.597027', '37.588871')",0.0,6,13,66,130,788,1030
"('55.58292', '37.581164')",0.0,8,3,77,95,663,918
"('55.585321', '37.601169')",0.0,8,13,73,108,657,944
"('55.620888', '37.601627')",0.0,3,8,82,207,944,1408
"('55.601299', '37.597971')",0.0,2,21,53,170,800,1075
"('55.581578', '37.581606')",0.0,8,3,72,99,640,921
"('55.568914', '37.590543')",0.0,1,9,51,98,522,848
"('55.582418', '37.5814')",0.0,8,3,77,96,658,914
"('55.776537', '37.540928')",0.0,11,24,310,600,1734,2018
"('55.53399', '37.51512')",0.0,5,14,60,99,242,606
"('55.847442', '37.564967')",0.0,5,14,99,300,1311,1481
"('55.806287', '37.417994')",0.0,9,9,63,184,938,1412
"('55.642822', '37.60628')",0.0,10,29,85,252,1119,1794
"('55.809196', '37.574066')",0.0,5,22,173,464,1782,1683
"('55.61117', '37.52794')",0.0,2,9,59,144,921,1149
"('55.4866118', '36.9185187')",0.0,3,1,5,1,5,1
"('55.536166', '37.159387')",0.0,1,2,2,5,22,101
"('55.487709', '36.9149866')",0.0,3,1,5,1,5,1
"('55.4833037', '36.9148754')",0.0,3,0,6,0,6,0
"('55.4999698', '36.9183258')",0.0,2,1,5,1,5,1
"('55.545416', '37.154742')",0.0,3,0,4,11,12,123
"('55.5422995', '37.151866')",0.0,3,1,3,5,18,106
"('55.5444083', '37.1538739')",0.0,3,1,3,8,15,113
"('55.495129', '36.916608')",0.0,2,3,3,3,3,3
"('55.753007', '37.59303')",0.0,33,45,433,540,1910,2141
"('55.752141', '37.592411')",0.0,31,47,432,540,1918,2124
"('55.746243', '37.600711')",0.0,19,47,400,562,1916,2124
"('55.7261873', '37.5635277')",0.0,8,19,208,565,1968,1808
"('55.762145', '37.606227')",0.0,26,61,438,523,1854,2275
"('55.748376', '37.599256')",0.0,20,57,409,557,1915,2147
"('55.753058', '37.58579')",0.0,23,47,413,588,1847,2169
"('55.748939', '37.599247')",0.0,20,53,417,546,1923,2137
"('55.748321', '37.592482')",0.0,32,56,402,560,1923,2109
"('55.747267', '37.593381')",0.0,31,54,398,558,1929,2107
"('55.75092', '37.593695')",0.0,36,41,426,541,1929,2118
"('55.753197', '37.584145')",0.0,17,48,415,581,1851,2162
"('55.749871', '37.59356')",0.0,32,48,418,548,1928,2114
"('55.750084', '37.584955')",0.0,23,50,416,574,1891,2111
"('55.599153', '37.365811')",0.0,4,13,11,89,314,793
"('55.599819', '37.35636')",0.0,8,6,16,92,264,763
"('55.6178', '37.264445')",0.0,6,0,19,33,159,285
"('55.491177', '37.311867')",0.0,3,5,18,15,47,231
"('55.621374', '37.30574')",0.0,9,8,47,56,168,654
"('55.598817', '37.360196')",0.0,7,8,12,86,289,760
"('55.626101', '37.311274')",0.0,12,4,51,56,173,732
"('55.589096', '37.171143')",0.0,7,0,12,3,48,130
"('55.6238395', '37.3049863')",0.0,12,4,52,49,175,659
"('55.623697', '37.30539')",0.0,13,3,53,49,175,660
"('55.626082', '37.310203')",0.0,13,3,52,54,174,724
"('55.599396', '37.202255')",0.0,1,0,11,9,90,154
"('55.624261', '37.309585')",0.0,15,1,57,51,176,706
"('55.489014', '37.312576')",0.0,4,3,20,13,49,219
"('55.624967', '37.30654')",0.0,16,0,57,45,179,671
"('55.601416', '37.363466')",0.0,12,5,18,99,297,804
"('55.588412', '37.164133')",0.0,7,2,10,5,36,136
"('55.860337', '37.667061')",0.0,11,11,116,124,880,1556
"('55.604712', '37.240253')",0.0,1,0,9,20,126,164
"('55.616554', '37.264642')",0.0,6,0,19,33,158,286
"('55.603212', '37.358372')",0.0,9,4,21,104,267,808
"('55.612263', '37.306055')",0.0,3,0,43,60,172,574
"('55.6222077', '37.3069577')",0.0,12,5,50,56,169,670
"('55.4488835', '37.2497875')",0.0,1,0,1,5,26,40
"('55.609097', '37.305515')",0.0,2,1,28,64,172,549
"('55.588533', '37.171806')",0.0,7,0,12,3,50,130
"('55.8608539', '37.6672562')",0.0,12,11,118,123,870,1560
"('55.601956', '37.359989')",0.0,11,4,20,101,280,792
"('55.588973', '37.166081')",0.0,7,1,11,4,39,133
"('55.61408', '37.301067')",0.0,2,4,37,63,161,563
"('55.605093', '37.366394')",0.0,6,10,21,112,301,854
"('55.60477', '37.36249')",0.0,10,6,20,111,278,852
"('55.587345', '37.165618')",0.0,7,2,10,5,37,135
"('55.587969', '37.167962')",0.0,7,1,11,5,40,134
"('55.86071', '37.670967')",0.0,12,6,115,115,866,1537
"('55.593527', '37.364463')",0.0,1,5,15,57,325,719
"('55.602861', '37.35769')",0.0,10,3,22,100,267,795
"('55.56925', '37.286426')",0.0,3,0,9,14,185,229
"('55.604387', '37.369907')",0.0,6,10,23,108,319,862
"('55.5525815', '37.334048')",0.0,6,4,13,24,219,344
"('55.601788', '37.374353')",0.0,4,8,23,90,346,852
"('55.644521', '37.339885')",0.0,3,12,63,71,303,843
"('55.798473', '37.53276')",0.0,7,33,246,453,1757,1722
"('55.792832', '37.51414')",0.0,8,32,225,425,1733,1753
"('55.812595', '37.53138')",0.0,12,14,189,343,1683,1600
"('55.799345', '37.523968')",0.0,9,36,223,446,1711,1727
"('55.8108538', '37.5331014')",0.0,12,20,196,345,1710,1597
"('55.80822', '37.532008')",0.0,17,14,216,354,1728,1605
"('55.793864', '37.541001')",0.0,8,18,259,499,1748,1836
"('55.805746', '37.557385')",0.0,5,24,194,446,1755,1715
"('55.804901', '37.509289')",0.0,13,23,197,356,1644,1655
"('55.808144', '37.539527')",0.0,15,17,212,362,1750,1605
"('55.808758', '37.53307')",0.0,15,16,208,356,1722,1606
"('55.806454', '37.521873')",0.0,10,30,197,383,1670,1671
"('55.806362', '37.52286')",0.0,10,29,199,386,1674,1674
"('55.809147', '37.533436')",0.0,15,16,206,350,1726,1598
"('55.793313', '37.540533')",0.0,8,17,259,502,1742,1848
"('55.794606', '37.542816')",0.0,12,13,260,481,1767,1813
"('55.811128', '37.514688')",0.0,3,24,175,377,1578,1652
"('55.79935', '37.518166')",0.0,10,35,210,431,1712,1704
"('55.7952659', '37.5260396')",0.0,9,27,243,463,1746,1751
"('55.793622', '37.545086')",0.0,10,15,260,493,1749,1857
"('55.7907663', '37.5244215')",0.0,7,26,236,478,1746,1783
"('55.798961', '37.537092')",0.0,12,29,246,446,1762,1733
"('55.80278', '37.536285')",0.0,11,34,221,429,1723,1708
"('55.797751', '37.532466')",0.0,7,34,246,461,1746,1742
"('55.798136', '37.545276')",0.0,11,23,249,457,1759,1777
"('55.8054', '37.538773')",0.0,13,29,212,409,1725,1674
"('55.806798', '37.516153')",0.0,10,25,196,378,1631,1684
"('55.801186', '37.50938')",0.0,13,32,208,353,1710,1644
"('55.806736', '37.54014')",0.0,10,24,213,384,1745,1639
"('55.794166', '37.542219')",0.0,9,16,257,491,1758,1825
"('55.804956', '37.512344')",0.0,10,29,192,372,1652,1660
"('55.802204', '37.53941')",0.0,11,33,226,436,1737,1720
"('55.79307', '37.541862')",0.0,7,16,261,498,1750,1847
"('55.803894', '37.532986')",0.0,14,29,224,409,1720,1684
"('55.79728', '37.541027')",0.0,15,17,248,472,1755,1780
"('55.81081', '37.53465')",0.0,12,20,193,352,1712,1602
"('55.793186', '37.526968')",0.0,7,29,236,478,1755,1767
"('55.807127', '37.515901')",0.0,10,21,200,365,1639,1669
"('55.798363', '37.546435')",0.0,10,27,249,453,1764,1778
"('55.797943', '37.546993')",0.0,10,24,253,451,1774,1778
"('55.809303', '37.53296')",0.0,15,16,206,352,1716,1607
"('55.78939', '37.536823')",0.0,3,26,257,536,1718,1906
"('55.79422', '37.51759')",0.0,10,26,221,440,1734,1747
"('55.8038226', '37.5305733')",0.0,11,38,219,413,1716,1681
"('55.806105', '37.515569')",0.0,9,28,193,380,1638,1678
"('55.797837', '37.543066')",0.0,13,19,246,465,1752,1780
"('55.800843', '37.515703')",0.0,9,36,204,402,1711,1674
"('55.774745', '37.548609')",0.0,7,15,343,584,1778,2021
"('55.78571', '37.52138')",0.0,8,36,245,475,1746,1807
"('55.811295', '37.561787')",0.0,12,8,184,400,1767,1632
"('55.885963', '37.67846')",0.0,5,8,82,95,525,1240
"('55.886248', '37.646099')",0.0,4,14,91,155,537,1395
"('55.881207', '37.65417')",0.0,5,14,99,146,571,1424
"('55.87685', '37.646893')",0.0,6,14,120,138,647,1473
"('55.88158', '37.634827')",0.0,5,13,115,159,592,1478
"('55.889376', '37.66044')",0.0,8,10,81,136,493,1319
"('55.881757', '37.694953')",0.0,1,8,66,71,558,1198
"('55.86602', '37.650253')",0.0,6,13,136,130,827,1583
"('55.867314', '37.671624')",0.0,7,15,117,105,735,1499
"('55.861383', '37.6478407')",0.0,3,17,126,157,918,1619
"('55.875657', '37.644432')",0.0,6,15,128,131,674,1493
"('55.893046', '37.660305')",0.0,7,6,68,132,464,1258
"('55.885812', '37.699346')",0.0,3,2,55,75,483,1139
"('55.856184', '37.659254')",0.0,5,13,119,161,975,1607
"('55.87851', '37.717728')",0.0,3,6,28,76,521,1107
"('55.876274', '37.650253')",0.0,6,13,121,136,644,1472
"('55.878864', '37.639752')",0.0,5,17,121,154,621,1502
"('55.868693', '37.656011')",0.0,6,14,131,123,752,1562
"('55.890347', '37.66663')",0.0,9,8,67,123,487,1251
"('55.882145', '37.657394')",0.0,4,13,95,145,554,1406
"('55.867622', '37.686743')",0.0,3,10,87,108,706,1418
"('55.877693', '37.677643')",0.0,1,6,105,97,609,1332
"('55.8522635', '37.6602582')",0.0,6,8,117,182,1044,1619
"('55.86752', '37.633034')",0.0,8,9,149,169,862,1604
"('55.87517', '37.698906')",0.0,3,6,70,79,607,1260
"('55.886625', '37.703972')",0.0,2,3,44,78,461,1097
"('55.87024', '37.64314')",0.0,6,20,138,143,785,1549
"('55.849236', '37.651601')",0.0,4,14,107,215,1132,1615
"('55.87747', '37.716387')",0.0,3,7,28,79,531,1132
"('55.882434', '37.681541')",0.0,3,6,89,87,566,1252
"('55.886488', '37.656829')",0.0,5,15,86,149,511,1382
"('55.868324', '37.68677')",0.0,3,8,89,105,698,1411
"('55.8722789', '37.7065298')",0.0,4,9,53,86,609,1278
"('55.856356', '37.641225')",0.0,4,13,129,191,1043,1586
"('55.873744', '37.636051')",0.0,5,18,150,145,757,1526
"('55.869743', '37.668812')",0.0,5,11,122,113,701,1483
"('55.889492', '37.652866')",0.0,5,13,75,165,473,1384
"('55.893102', '37.677427')",0.0,3,7,54,102,467,1122
